127.0.0.1 - - [26/Jul/2016:13:55:49 +0800] "GET / HTTP/1.1" 200 11452
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg&url=E:\ADNursing\image\d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg HTTP/1.1" 200 35098
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg&url=E:\ADNursing\image\d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg HTTP/1.1" 200 35098
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=bb54b2b2-45e0-4ed7-b9bb-3ccecd9db762_1.jpg&url=E:\ADNursing\image\bb54b2b2-45e0-4ed7-b9bb-3ccecd9db762_1.jpg HTTP/1.1" 200 9016
192.168.191.4 - - [26/Jul/2016:14:04:35 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:35 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg&url=E:\ADNursing\image\d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg HTTP/1.1" 200 35098
192.168.191.4 - - [26/Jul/2016:14:05:19 +0800] "POST /ADNursingServer/android/register.jsp?mode=android HTTP/1.1" 500 3571
192.168.191.4 - - [26/Jul/2016:14:05:19 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 1256
192.168.191.4 - - [26/Jul/2016:14:05:19 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:05:19 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg&url=E:\ADNursing\image\d8958c98-2924-4280-b5fc-8dc4958d4b51_0b5cc2ef76094b3664d846ada0cc7cd98c109d1d.jpg HTTP/1.1" 200 35098
